Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName
Dylan Jones #4,M,SBD,Raw,20.0,20-23,19-23,MR-Jr,102.8,105,195.0,205.0,-212.5,,205.0,150.0,160.0,165.0,,165.0,255.0,267.5,272.5,,272.5,642.5,4,390.86,386.88,369.41,80.11,Yes,USA,CA,USAPL,IPF,2019-06-29,USA,CA,,California State Championships
Gilbert Alvarado,M,SBD,Raw,21.0,20-23,19-23,Juniors 20-23,134.3,140,240.0,252.5,272.5,,272.5,135.0,145.0,147.5,,147.5,235.0,260.0,272.5,,272.5,692.5,1,384.04,389.49,371.28,76.76,Yes,USA,CA,USPA,IPL,2023-09-30,USA,CA,Chino Hills,Drug Tested SoCal Open
John Gutierrez,M,SBD,Raw,33.5,24-34,24-39,MR-O,93.9,105,227.5,235.0,242.5,,242.5,180.0,187.5,192.5,,192.5,237.5,247.5,255.0,,255.0,690.0,1,437.0,431.5,412.84,89.84,Yes,USA,TX,AMP,IPF,2022-12-11,USA,TX,,CRCL Classic
Antonio Cordero Molina,M,SBD,Raw,19.5,20-23,19-23,JUN,81.11,83,150.0,162.5,170.0,,170.0,75.0,-80.0,82.5,,82.5,170.0,180.0,190.0,,190.0,442.5,14,302.68,299.51,288.41,61.97,Yes,,,AEP,IPF,2018-10-05,Spain,,Chiva,Campeonato de España de Powerlifting SBJ-JUN-Masters
Cody Bunn,M,SBD,Raw,23.5,24-34,24-39,MR-O,113.65,120,202.5,215.0,225.0,,225.0,140.0,150.0,-160.0,,150.0,237.5,-247.5,-247.5,,237.5,612.5,4,358.44,357.04,341.62,72.93,Yes,USA,OH,USAPL,IPF,2019-05-18,USA,OH,,Ohio State Championships
Ron Tarvin,M,SBD,Raw,31.0,24-34,24-39,Open,95.2,100,300.0,-312.5,312.5,,312.5,185.0,197.5,-205.0,,197.5,280.0,300.0,-315.0,,300.0,810.0,2,509.7,503.36,481.37,104.77,Yes,USA,AL,USPA,IPL,2021-05-22,USA,IN,Indianapolis,Drug Tested Ghost Strong Hoosier Cup
Nicholas Falcon,M,SBD,Raw,35.0,35-39,24-39,Novice,65.3,67.5,120.0,132.5,137.5,,137.5,95.0,102.5,107.5,,107.5,152.5,165.0,177.5,,177.5,422.5,2,333.68,334.68,325.38,66.23,Yes,,,NORCAL,,2018-10-28,USA,CA,Concord,Mental Health
Kasemsand Senumong,M,SBD,Raw,24.0,24-34,24-39,MR-O,71.15,74,215.0,227.5,235.0,,235.0,135.0,142.5,-147.5,,142.5,240.0,250.0,260.0,,260.0,637.5,1,473.53,471.88,456.98,95.53,Yes,Thailand,,ThaiPF,IPF,2019-11-09,Thailand,,,National Qualifier 3
Andres Pulgaren,M,SBD,Raw,21.0,20-23,19-23,Juniors 20-23,82.5,82.5,,,,,187.5,,,,,127.5,,,,,235.0,550.0,2,372.57,368.45,354.52,76.37,Yes,USA,CA,USPA,IPL,2018-06-02,USA,CA,Long Beach,Drug Tested Metroflex Classic
Ruben Loza,M,SBD,Raw,30.0,24-34,24-39,Open,63.32,67.5,,,,,132.5,,,,,82.5,,,,,172.5,387.5,2,313.31,315.07,306.78,61.75,,,,USPA,IPL,2012-02-18,USA,CA,Concord,West Coast Open Powerlifting Championship
